ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
21;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
22;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
23;24-26 years;Female;Private;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
24;24-26 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
25;21-23 years;Female;Private;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
26;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
27;17-20 years;Other;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
28;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;Electricity at your place of study;";Yes
29;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
30;21-23 years;Female;Private;70-79%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
31;21-23 years;Female;Private;70-79%;Full-time student;Arts and Humanities;60-69%;20 - 30 hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;Electricity at your place of study;";Yes
32;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
33;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
34;17-20 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
35;21-23 years;Male;Private;50-59%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
36;17-20 years;Male;Cambridge international ;50-59%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
37;17-20 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
38;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
39;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
40;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
41;17-20 years;Female;Private;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
42;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
43;24-26 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
44;17-20 years;Male;Private;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
45;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
46;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
47;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
48;17-20 years;Female;Private;50-59%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
49;17-20 years;Female;Private;50-59%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
50;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";No
51;24-26 years;Male;Private;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
52;17-20 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;50-59%;20 - 30 hours weekly;"Electricity at your place of study;";No
53;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
54;21-23 years;Male;State/Public;40-49%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
55;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
56;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
57;21-23 years;Male;Private;70-79%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
58;21-23 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
59;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;90-100%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
60;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
61;21-23 years;Female;Homeschool;90-100%;Full-time student;Information Technology;90-100%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
62;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;Below 40%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
63;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
64;17-20 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
65;17-20 years;Male;Both;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"A location or place where you may study;Electricity at your place of study;";No
66;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
67;24-26 years;Female;State/Public;80-89%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
68;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
69;17-20 years;Male;Private;50-59%;Full-time student;Commerce and Law;80-89%;30+ hours weekly;"Electricity at your place of study;";No
70;21-23 years;Female;Private;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
71;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";No
72;21-23 years;Female;Private;70-79%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
73;17-20 years;Female;Private;60-69%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
74;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
75;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
76;24-26 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
77;17-20 years;Female;Private;50-59%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
78;26 +;Female;State/Public;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
79;17-20 years;Male;Private;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
80;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
81;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;Below 40%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;";No
82;17-20 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
83;21-23 years;Female;Private;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
84;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
85;21-23 years;Female;State/Public;70-79%;Part-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
86;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
87;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
88;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
89;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
90;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;";No
91;;;;;;;;;;
92;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
93;21-23 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
94;21-23 years;Female;State/Public;70-79%;Part-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
95;21-23 years;Male;State/Public;40-49%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
96;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
97;17-20 years;Female;State/Public;60-69%;Full-time student;Higher Certificate in Business Management;50-59%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
98;17-20 years;Other;Private;70-79%;Full-time student;Applied Sciences;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
99;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
100;17-20 years;Female;State/Public;60-69%;Part-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
101;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
102;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;90-100%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
103;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
104;17-20 years;Female;State/Public;40-49%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
105;26 +;Male;State/Public;60-69%;Part-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
106;17-20 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
107;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
108;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
109;17-20 years;Male;State/Public;60-69%;Full-time student;BCom(general);50-59%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
110;21-23 years;Male;State/Public;80-89%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
111;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
112;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
113;17-20 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
114;17-20 years;Male;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
115;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
116;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
117;17-20 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
118;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
119;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
120;17-20 years;Male;State/Public;80-89%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
121;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
122;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
123;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
124;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
125;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
126;17-20 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
127;21-23 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";Yes
128;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
129;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
130;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
131;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
132;21-23 years;Female;State/Public;40-49%;Full-time student;Arts and Humanities;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
133;17-20 years;Other;Private;70-79%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";Yes
134;21-23 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
135;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";No
136;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
137;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
138;17-20 years;Male;State/Public;80-89%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
139;17-20 years;Female;Private;80-89%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
140;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
141;21-23 years;Female;Homeschool;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
142;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
143;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
144;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
145;21-23 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
146;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
147;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
148;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
149;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
150;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
151;24-26 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
152;17-20 years;Male;State/Public;80-89%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
153;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
154;17-20 years;Male;State/Public;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
155;21-23 years;Other;Fairmont (semi-private);70-79%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
156;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
157;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
158;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
